#{"t_start": 1681158059.0414267, "env_id": null}
r,l,t
5.263073,100,287.006002
-0.73916614,6,287.680005
0.00060746074,6,287.680005
-0.88131934,6,287.830002
0.15529472,6,288.594001
-0.84695214,7,288.594001
-0.12382038,6,289.359002
-0.70484686,6,289.359002
6.684447,100,289.744999
-0.28655678,6,290.167001
-0.08766646,6,290.167001
0.16785422,6,290.557003
0.14901587,6,290.979
-0.45745853,6,290.979
-0.37354305,6,291.407001
-0.27033958,6,291.803001
1.1681037,100,291.952
-0.55432814,6,292.236
-0.18618366,6,292.655998
-0.14782363,8,293.318
0.14181837,6,293.472999
0.17691246,6,294.107999
-0.6698111,6,294.265005
-0.52121085,6,295.109003
-0.37111574,6,295.261001
-0.46739537,6,295.960001
-0.66485494,6,296.09
1.4328675,100,296.692999
0.036849312,6,296.692999
-0.52687997,6,296.854
-0.45709142,6,341.507001
-0.053435758,6,341.507001
0.05377104,6,341.701001
-0.011631286,6,342.345999
-0.6936119,6,342.479999
0.10279453,6,343.159001
2.5057294,53,343.357002
0.16322948,6,343.357002
6.364411,100,343.503002
-0.20354322,6,344.084
0.86224055,100,344.262002
-0.77574754,6,344.262002
-0.5848176,6,344.262002
0.16936652,6,344.431002
1.0162612,71,345.119004
-0.9517842,6,345.119004
0.09955554,6,345.383002
0.053469226,6,345.383002
-0.42729032,6,345.383002
0.09020098,6,345.552003
4.920927,100,345.863001
-0.5092507,6,346.228003
-0.85512453,6,346.228003
-0.74757975,6,346.432002
-0.46907142,6,346.432002
-0.7249261,6,346.432002
-0.20826238,6,346.610014
-0.70479494,6,346.919
-0.32998618,6,347.197999
-1.0256578,6,347.197999
-0.61201996,6,347.379999
-0.8735833,6,347.379999
0.05549049,6,347.379999
-0.050150007,6,347.532
-0.26611906,6,347.864001
-0.31722423,6,348.194
-0.5384562,6,348.194
-0.5777595,6,348.370001
-0.76139987,6,348.370001
0.18560824,6,348.370001
-0.22153683,6,348.524001
0.058323365,6,348.808002
-0.9563986,6,349.088001
-0.6654787,6,349.244999
-0.19022337,6,349.244999
-0.43468437,6,349.373001
-0.149358,6,349.630999
-0.4166934,6,349.881
-0.85566574,6,350.054002
0.015441677,6,350.202003
0.040024422,6,350.709001
-0.16584039,6,350.855
-0.2622422,6,350.981001
-0.37020555,6,351.498999
-0.65520775,6,351.644001
0.08406444,6,351.781002
-0.19815518,6,352.309
-0.30571812,6,352.439002
-1.0296876,6,352.568002
-0.29212284,25,352.965002
-0.47096038,6,353.094001
-0.1850963,6,353.264001
-0.11191868,6,353.399
-0.11721718,6,353.905001
-0.83983874,6,354.042001
-0.29990944,6,354.214999
-0.5375926,6,354.723
-0.33288187,6,354.874
-0.3367923,6,355.005002
0.19559428,6,355.528004
-0.6425872,6,387.262003
0.10173908,6,387.430999
5.613037,100,387.721
-0.35195673,6,388.043
0.049126677,6,388.313003
0.119546786,6,388.584999
0.05677338,6,388.85
-0.8777665,6,389.138001
-0.32034728,6,389.389003
-0.22959058,6,390.173
-0.26507834,6,391.014999
1.700422,83,391.262002
-0.2926901,6,391.783
-0.5708711,6,392.021
-0.4111471,6,392.53
-0.118916824,6,392.804003
6.834462,100,393.32301
-0.8896593,6,393.324001
-0.39659587,6,393.602002
-0.41994345,6,394.105003
-0.4396752,6,394.105003
3.9799619,100,394.222998
-0.52499014,6,394.360002
0.13201869,6,394.916004
-0.14293751,6,394.916004
-0.35610005,6,395.050001
-0.9530033,6,395.198003
-0.224834,6,395.745002
-0.05374995,6,395.745002
-0.67968285,6,395.930999
-0.2842916,6,396.086001
-0.6850118,6,396.606013
0.02680677,6,396.746999
-0.056618676,6,396.906002
-0.90525305,6,397.467003
-0.27734637,6,397.623001
-0.16074008,6,397.773999
1.0863608,100,398.298001
-0.87275374,6,398.562001
-0.047021493,6,398.711001
-0.5753074,6,399.155999
-0.70127094,6,399.490999
-0.05769838,6,399.633003
0.12043177,6,400.003
-0.018377878,6,400.263999
-0.3191806,6,400.456001
-0.25680688,6,400.842003
5.244252,100,437.268
-0.78430384,6,437.268
0.0451883,6,437.408
-0.47628474,6,438.082001
0.12639627,6,438.082001
0.009927224,6,438.233001
4.550505,100,438.702002
0.12679698,6,438.871006
-0.92771584,6,438.871006
3.0885432,100,439.042999
0.065880276,6,439.042999
-0.24703828,6,439.675998
-0.4437061,6,439.675998
-0.152645,6,439.815001
-0.7275063,6,440.469001
-0.05152472,6,440.618001
-0.9057257,6,441.252001
-0.14217794,6,441.407
-0.8104392,6,442.04
-0.78865796,6,442.191
-0.13879618,6,442.919001
-0.3585783,6,443.085001
-0.078319505,6,443.699
-0.31847793,6,443.83
-0.07278527,6,444.463001
0.15375689,6,444.599999
-0.3159253,6,445.211
-0.3709521,6,445.349
1.4547076,100,445.628001
-0.952263,6,446.080005
3.8196373,100,447.161001
-0.26792458,6,447.965
-0.5354221,6,448.765003
-0.41062832,6,449.613008
3.14724,100,450.281
-0.5572777,6,450.435002
-0.8909693,6,502.101002
-0.1488769,6,502.966002
3.9840593,100,502.966002
1.8668094,100,503.246001
-0.14183186,6,503.812
6.642363,100,504.017
-0.8973379,6,504.193002
-0.8647616,6,505.058002
-0.2598781,6,505.846002
-0.22293621,6,506.688001
5.706801,100,509.922001
0.43282536,96,510.075003
2.7933626,100,510.235003
-0.11340457,6,510.809001
-0.49814498,6,510.979001
-0.1360212,6,511.144001
0.14177792,6,511.721
0.02090519,6,511.998005
0.11497091,6,512.539002
0.0065924902,6,512.856004
-0.4993234,6,513.419003
0.02925417,6,513.740002
-0.25142255,6,514.329002
-0.47835386,6,514.632004
-0.17797542,6,515.252
4.8043914,100,515.407002
0.028010912,6,515.548
-0.3156728,6,568.331624
0.096860915,6,568.66962
0.8753936,100,569.510618
-0.29256305,6,569.510618
4.3016787,100,570.39462
-0.60616475,6,570.39462
4.4459124,100,570.532625
-0.30154824,6,571.315619
-0.5175078,6,571.315619
-0.024261443,6,571.458621
-0.6909537,6,572.18762
-0.5473062,6,572.351625
0.029814007,6,573.074618
-0.22399577,6,573.220618
4.7980347,100,573.377621
-0.13364641,6,573.939621
-0.3719991,6,574.10862
-0.36725247,6,574.247619
-0.0760818,6,574.80262
1.0926934,44,574.80262
-0.18485132,6,575.088619
-0.15536372,6,575.67462
-0.12698145,6,575.67462
-0.6976906,6,575.971621
0.035975777,6,576.628618
-0.74926645,6,576.628618
-0.28089815,6,576.912619
-0.65564877,6,577.53562
-0.40684664,6,577.53562
-0.12755923,6,577.807618
2.2634702,100,577.963621
-0.31901553,6,578.425626
-0.04900541,6,578.425626
-0.7235474,6,578.72962
0.1701639,6,578.91962
0.12101151,6,579.384623
-0.08343017,6,579.385624
-0.25605166,6,579.662623
-0.6413233,6,579.82262
0.0075739212,6,580.302162
-0.2707395,6,580.624157
0.14312875,6,581.149155
-0.6523207,6,581.475157
-0.35120705,6,582.274156
3.436503,100,582.433156
